category,n_stems,wall_seconds,wall_hours,active_hours,ddsp_eligible,label
piano,282314,21688148.810385488,6024.485780662636,4898.943704395476,False,Piano
voice,74503,11909650.21117914,3308.236169771983,2359.9837752925514,False,Voice
wind,36663,7668337.80707483,2130.093835298564,1164.198570006004,True,Wind
strings,30843,7687612.891473923,2135.448025409423,1287.7192297974636,True,Strings
brass,30431,6182676.1225170065,1717.4100340325017,836.7529402872891,True,Brass
drums,12486,2403200.226213152,667.5556183925422,236.4161068846057,False,Drums
organ,7059,1177782.9263492064,327.16192398589067,238.8808399817573,False,Organ
guitar,6392,1022222.2611791383,283.9506281053162,186.14479183470004,False,Guitar
mallet,4954,1065416.4794104309,295.949022058453,91.27769886343656,False,Mallet
polyphonic,4514,901222.5407029479,250.33959463970774,135.88770160733412,False,Miscellaneous
