gm_id,n_stems,wall_seconds,wall_hours,label,active_hours
0,278801,20912547.18340136,5809.040884278156,Acoustic Grand Piano (0),4731.529901001512
52,66907,11008877.02526077,3058.0213959057696,Choir Aahs (52),2202.0945247732425
128,12486,2403200.226213152,667.5556183925422,Drums,236.4161068846057
73,11708,2143243.7222675737,595.3454784076594,Flute (73),365.7192745338877
40,11592,2800779.9104988663,777.9944195830184,Violin (40),504.7909985008818
57,8318,1663016.281564626,461.94896710128495,Trombone (57),234.7260373141849
71,7688,1745388.2921995465,484.8300811665407,Clarinet (71),251.58592001763668
59,7628,1485054.3136507936,412.5150871252205,Muted Trumpet (59),178.6848651234568
60,6378,1477721.0210884353,410.47806141345427,French Horn (60),184.4859716175359
42,6071,1493301.0793197278,414.80585536659106,Cello (42),283.34737118291764
58,5831,1002912.7852834467,278.5868848009574,Tuba (58),176.1704348387503
65,4543,818255.6163945579,227.29322677626607,Alto Sax (65),127.3356792957924
41,3614,980908.6632653062,272.47462868480727,Viola (41),168.5222089191232
91,3489,129793.70376417233,36.05380660115898,Pad 4 (choir) (91),34.23507426303855
19,3359,447506.5338095238,124.3073705026455,Church Organ (19),99.32801484630888
68,3312,930712.5935147392,258.53127597631646,Oboe (68),125.47189217057192
66,3078,534763.8611791383,148.5455169942051,Tenor Sax (66),86.24454082892416
70,2920,869989.3455102041,241.6637070861678,Bassoon (70),118.14318433484506
46,2884,714706.1201360545,198.5294778155707,Orchestral Harp (46),104.47926026706978
24,2620,345905.80569161,96.08494602544721,Acoustic Guitar (nylon) (24),70.7603046989166
43,2593,676456.8212471656,187.9046725686571,Contrabass (43),108.19395830813806
6,2588,629819.3495238095,174.9498193121693,Harpsichord (6),133.60278691106072
16,2561,561600.0552154195,156.00001533761653,Drawbar Organ (16),108.8457166414714
56,2214,497329.4862358277,138.14707950995214,Trumpet (56),61.71346817838246
67,1854,334229.7865079365,92.84160736331569,Baritone Sax (67),53.45077787855883
72,1620,274636.8386621315,76.28801073948098,Piccolo (72),28.22253413328294
44,1588,363922.1481632653,101.08948560090703,Tremolo Strings (44),62.07307862811791
37,1564,295026.06952380954,81.95168597883598,Slap Bass 2 (37),57.67468632527085
47,1473,457696.8002494331,127.13800006928697,Timpani (47),25.850510216679265
12,1319,261472.87043083902,72.63135289745529,Marimba (12),30.50975530990174
53,1108,224540.82002267573,62.37245000629881,Voice Oohs (53),35.004203842277654
9,1039,224065.51519274377,62.24042088687327,Glockenspiel (9),12.58730746409675
26,1010,185586.44113378684,51.55178920382968,Electric Guitar (jazz) (26),27.617939222726125
48,996,164636.4090929705,45.732335859158475,String Ensemble 1 (48),28.68661967750063
74,995,203969.6186394558,56.65822739984883,Recorder (74),41.374358541194255
11,969,201197.55378684806,55.88820938523557,Vibraphone (11),24.635500862937764
1,715,104604.59909297053,29.056833081380702,Bright Acoustic Piano (1),21.17871310153691
21,638,80807.44628117915,22.446512855883096,Accordion (21),15.216005832703452
13,636,135783.1893877551,37.71755260770975,Xylophone (13),9.951178924162258
14,551,133074.43555555557,36.96512098765432,Tubular Bells (14),5.949222184429328
64,533,100749.51884353741,27.98597745653817,Soprano Sax (64),17.07276123078861
34,529,79038.12183673469,21.955033843537414,Electric Bass (pick) (34),16.614456355505165
27,520,99491.98349206349,27.636662081128748,Electric Guitar (clean) (27),14.263544866465104
25,515,86961.72993197279,24.156036092214663,Acoustic Guitar (steel) (25),16.06671708238851
28,474,76436.72235827665,21.23242287729907,Electric Guitar (muted) (28),14.928838063744015
33,473,86640.75854875284,24.06687737465357,Electric Bass (finger) (33),19.36991868228773
32,449,98123.38022675738,27.256494507432606,Acoustic Bass (32),14.364532949105568
69,399,112765.88444444444,31.323856790123454,English Horn (69),13.884111772486772
4,346,71966.62943310657,19.99073039808516,Electric Piano 1 (4),10.103176599899218
80,273,56095.887641723355,15.58219101158982,Lead 1 (square) (80),8.550166225749559
81,248,48348.87977324263,13.430244381456287,Lead 2 (sawtooth) (81),6.777848274124464
61,187,43451.43002267573,12.069841672965481,Brass Section (61),4.883232161753591
22,174,23777.5679138322,6.604879976064501,Harmonica (22),4.282717882338121
20,164,30714.736734693877,8.531871315192744,Reed Organ (20),6.354798400100781
54,158,22945.657732426305,6.3737938145628625,Synth Voice (54),3.6929001952632903
114,155,30968.57977324263,8.602383270345175,Steel Drums (114),3.88873587175611
8,151,44208.82657596372,12.280229604434368,Celesta (8),2.845790375409423
30,144,39835.40825396826,11.06539118165785,Distortion Guitar (30),6.293912887377173
103,130,25666.327006802723,7.129535279667423,FX 8 (sci-fi) (103),2.859439808515999
79,130,30696.70240362812,8.52686177878559,Ocarina (79),3.894739751826657
39,127,22979.036780045353,6.38306577223482,Synth Bass 2 (39),3.8957278533635673
51,126,27379.706077097508,7.605473910304863,Synth Strings 2 (51),3.503413145628622
63,123,27533.17172335601,7.64810325648778,Synth Brass 2 (63),3.329006714537667
105,123,22267.926462585034,6.185535128495843,Banjo (105),2.600814134542706
29,118,24966.521904761907,6.935144973544974,Overdriven Guitar (29),3.991011986646511
89,102,36988.480158730155,10.274577821869487,Pad 2 (warm) (89),2.6629917422524563
75,99,24467.03498866213,6.796398607961703,Pan Flute (75),3.077453130511464
90,98,22483.550476190478,6.245430687830688,Pad 3 (polysynth) (90),2.3484744771982866
3,91,15261.084535147393,4.239190148652053,Honky-tonk Piano (3),2.8288779919375155
5,86,17141.158231292517,4.761432842025699,Electric Piano 2 (5),2.890623589065256
117,78,14191.932517006802,3.942203476946334,Melodic Tom (117),1.4171036785084403
88,73,16143.469909297051,4.484297197026959,Pad 1 (new age) (88),2.25273499622071
95,70,15074.915555555555,4.187476543209876,Pad 8 (sweep) (95),1.544810267069791
99,70,13468.869659863945,3.74135268329554,FX 4 (atmosphere) (99),1.6622065822625347
2,69,11713.763605442176,3.2538232237339377,Electric Grand Piano (2),2.036879661123709
7,67,11979.72462585034,3.3277012849584278,Clavinet (7),1.8526833018392543
109,65,7538.947482993198,2.0941520786092216,Bagpipe (109),1.208727840765936
100,64,13231.93179138322,3.675536608717561,FX 5 (brightness) (100),1.673938353489544
78,64,13915.749387755102,3.865485941043084,Whistle (78),1.043618613000756
85,60,9647.15560090703,2.679765444696397,Lead 6 (voice) (85),1.512854484756866
10,59,16678.52961451247,4.632924892920131,Music Box (10),0.8394745464852608
94,55,10926.38088435374,3.0351058012093723,Pad 7 (halo) (94),1.0836678193499625
119,52,12789.53120181406,3.552647556059461,Reverse Cymbal (119),0.2545862874779541
35,50,8439.382335600907,2.344272871000252,Fretless Bass (35),1.9663643675988915
18,48,8822.032925170068,2.45056470143613,Rock Organ (18),1.0948012471655328
15,47,7756.996621315193,2.154721283698665,Dulcimer (15),0.8237611552028219
23,46,6555.2070975056695,1.8208908604182414,Tango Accordion (23),1.219035802469136
107,42,9452.811609977323,2.6257810027714785,Koto (107),0.771915589569161
17,41,9248.363922902494,2.568989978584026,Percussive Organ (17),1.4188443688586545
96,40,7830.291156462585,2.1750808767951626,FX 1 (rain) (96),1.0040744897959184
97,33,10212.455328798185,2.8367931468883847,FX 2 (soundtrack) (97),0.777357986898463
98,33,7093.714376417233,1.9704762156714537,FX 3 (crystal) (98),0.6546302532123961
50,27,7603.172426303855,2.1119923406399597,Synth Strings 1 (50),0.9306610292265054
102,27,9483.299410430838,2.6342498362307882,FX 7 (echoes) (102),0.4707008944318468
38,24,4622.022448979592,1.2838951247165533,Synth Bass 1 (38),0.816022549760645
93,24,6814.734512471655,1.8929818090199042,Pad 6 (metallic) (93),0.5346801902242379
92,22,3874.064739229025,1.0761290942302846,Pad 5 (bowed) (92),0.3962292642983119
62,22,3543.021133786848,0.9841725371630133,Synth Brass 1 (62),0.606916232048375
49,21,3311.804671201814,0.9199457420005039,String Ensemble 2 (49),0.5905469513731418
108,21,3283.693424036281,0.9121370622323003,Kalimba (108),0.4363857394809776
110,18,2873.8742857142856,0.7982984126984127,Fiddle (110),0.4411431594860166
45,18,3696.4890702947846,1.026802519526329,Pizzicato Strings (45),0.2801809019904258
36,17,5527.279455782313,1.5353554043839757,Slap Bass 1 (36),0.9301791383219956
55,17,4992.088526077097,1.386691257243638,Orchestra Hit (55),0.2368449672461577
112,17,3084.895782312925,0.8569154950869236,Tinkle Bell (112),0.1593091458805744
87,16,4110.681201814059,1.1418558893927941,Lead 8 (bass + lead) (87),0.5077389392794155
106,15,2254.985918367347,0.626384977324263,Shamisen (106),0.262510758377425
31,14,4858.134807256236,1.34948189090451,Guitar Harmonics (31),0.1999325585789871
104,12,2177.3743310657596,0.6048262030738221,Sitar (104),0.2702182917611488
116,12,3905.491882086168,1.0848588561350467,Taiko Drum (116),0.237485405643739
84,11,1132.8072562358277,0.31466868228772993,Lead 5 (charang) (84),0.1639788863693625
101,11,1105.8967800453515,0.3071935500125976,FX 6 (goblins) (101),0.1481990803728899
127,9,1147.3153741496599,0.3186987150415722,Gunshot (127),0.0716636369362559
111,7,942.0785487528344,0.26168848576467624,Shanai (111),0.0779836041824137
77,7,914.9619954648526,0.25415610985134796,Shakuhachi (77),0.133125
82,6,1144.295328798186,0.31785981355505166,Lead 3 (calliope) (82),0.1589411249685059
122,6,1942.2084353741498,0.5395023431594861,Seashore (122),0.0343055555555555
83,4,1096.7960090702948,0.3046655580750819,Lead 4 (chiff) (83),0.1244368417737465
118,4,543.999433106576,0.15111095364071556,Synth Drum (118),0.0681259826152683
115,4,694.7236281179139,0.19297878558830941,Woodblock (115),0.05375
76,4,808.9280725623584,0.22470224237843286,Blown Bottle (76),0.142185474930713
120,4,879.608163265306,0.24433560090702944,Guitar Fret Noise (120),0.0146527777777777
123,3,877.3021315192744,0.2436950365331318,Bird Tweet (123),0.005
126,3,526.6271201814059,0.14628531116150162,Applause (126),0.024061929957168
113,3,390.7207256235828,0.10853353489543967,Agogo (113),0.0325694444444444
