train_arm,test_set,target,si_sdr_mean
both,musdb18,bass,-3.3048239606725645
both,musdb18,drums,1.911836961075727
both,slakh2100,bass,7.6523754945559554
both,slakh2100,drums,12.35198906640298
both,slakh2100,guitar,3.5620816122378276
both,slakh2100,piano,2.940970162515504
both,spdmx_val,bass,6.258955574833018
both,spdmx_val,drums,8.749992036160432
both,spdmx_val,guitar,1.2584793369562017
both,spdmx_val,piano,5.351799885263931
slakh,musdb18,bass,-4.596344249554967
slakh,musdb18,drums,1.214138880835016
slakh,slakh2100,bass,7.950568824164687
slakh,slakh2100,drums,12.563704458269147
slakh,slakh2100,guitar,4.042443156322869
slakh,slakh2100,piano,3.4157958599921567
slakh,spdmx_val,bass,-1.9244202820958547
slakh,spdmx_val,drums,2.2588588631156963
slakh,spdmx_val,guitar,-8.363523654336296
slakh,spdmx_val,piano,0.23189479714838535
spdmx,musdb18,bass,-2.0318353898794124
spdmx,musdb18,drums,1.0812357004618132
spdmx,slakh2100,bass,-2.1826888460653646
spdmx,slakh2100,drums,4.891075837488714
spdmx,slakh2100,guitar,-6.7577786870400125
spdmx,slakh2100,piano,-2.731202489520292
spdmx,spdmx_val,bass,8.241541438526493
spdmx,spdmx_val,drums,10.753061474822049
spdmx,spdmx_val,guitar,1.7150682587490564
spdmx,spdmx_val,piano,6.046595890731976
